No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
11,Chris Anstey,C,7-0,249,"January 1, 1975",au AU,1,
44,Shawn Bradley,C,7-6,235,"March 22, 1972",de DE,5,BYU
23,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,8,Cal State Fullerton
24,Hubert Davis,SG,6-5,183,"May 17, 1970",us US,6,UNC
4,Michael Finley,SF,6-7,215,"March 6, 1973",us US,3,Wisconsin
45,A.C. Green,PF,6-9,220,"October 4, 1963",us US,13,Oregon State
13,Steve Nash,PG,6-3,195,"February 7, 1974",za ZA,2,Santa Clara
41,Dirk Nowitzki,PF,7-0,245,"June 19, 1978",de DE,R,
14,Robert Pack,PG,6-2,180,"February 3, 1969",us US,7,USC
20,Erick Strickland,SG,6-3,210,"November 25, 1973",us US,2,Nebraska
40,Bruno Šundov,C,7-2,220,"February 10, 1980",hr HR,R,
33,Gary Trent,PF,6-8,250,"September 22, 1974",us US,3,Ohio University
52,Samaki Walker,PF,6-9,240,"February 25, 1976",us US,2,Louisville
18,Hot Rod Williams,C,6-11,215,"August 9, 1962",us US,12,Tulane
