No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
4,Steve Alford,PG,6-2,183,"November 23, 1964",us US,3,Indiana
22,Rolando Blackman,SG,6-6,190,"February 26, 1959",pa PA,9,Kansas State
15,Brad Davis,PG,6-3,180,"December 17, 1955",us US,13,Maryland
40,James Donaldson,C,7-2,275,"August 16, 1957",gb GB,10,Washington State
2,Alex English,SF,6-8,190,"January 5, 1954",us US,14,South Carolina
50,Jim Grandholm,PF,7-0,235,"October 4, 1960",us US,R,"Florida, South Florida"
12,Derek Harper,PG,6-4,185,"October 13, 1961",us US,7,Illinois
21,Fat Lever,SG,6-3,170,"August 18, 1960",us US,8,Arizona State
1,Rodney McCray,PF,6-7,220,"August 29, 1961",us US,7,Louisville
55,John Shasky,C,6-11,235,"July 31, 1964",us US,2,Minnesota
42,Roy Tarpley,C,6-11,230,"November 28, 1964",us US,4,Michigan
5,Kelvin Upshaw,SG,6-2,180,"January 24, 1963",us US,2,Utah
33,Randy White,PF,6-8,240,"November 4, 1967",us US,1,Louisiana Tech
32,Herb Williams,C,6-10,242,"February 16, 1958",us US,9,Ohio State
34,Howard Wright,PF,6-8,220,"December 20, 1967",us US,R,Stanford
