No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
22,Rolando Blackman,SG,6-6,190,"February 26, 1959",pa PA,10,Kansas State
15,Brad Davis,PG,6-3,180,"December 17, 1955",us US,14,Maryland
43,Terry Davis,PF,6-9,225,"June 17, 1967",us US,2,Virginia Union University
40,James Donaldson,C,7-2,275,"August 16, 1957",gb GB,11,Washington State
5,Tom Garrick,SG,6-2,185,"July 7, 1966",us US,3,Rhode Island
12,Derek Harper,PG,6-4,185,"October 13, 1961",us US,8,Illinois
35,Donald Hodge,PF,7-0,230,"February 25, 1969",us US,R,Temple
41,Brian Howard,SF,6-6,204,"October 19, 1967",us US,R,NC State
55,Mike Iuzzolino,PG,5-10,175,"January 22, 1968",us US,R,"Penn State, Saint Francis University"
21,Fat Lever,SG,6-3,170,"August 18, 1960",us US,9,Arizona State
1,Rodney McCray,SF,6-7,220,"August 29, 1961",us US,8,Louisville
20,Tracy Moore,SF,6-4,200,"December 28, 1965",us US,R,Tulsa
23,Brian Quinnett,SG,6-8,235,"May 30, 1966",us US,2,Washington State
34,Doug Smith,PF,6-10,220,"September 17, 1969",us US,R,Missouri
31,João Vianna,SF,6-9,215,"November 15, 1966",br BR,R,
33,Randy White,PF,6-8,240,"November 4, 1967",us US,2,Louisiana Tech
32,Herb Williams,C,6-10,242,"February 16, 1958",us US,10,Ohio State
