No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Steve Alford,PG,6-2,183,"November 23, 1964",us US,2,Indiana
22,Rolando Blackman,SG,6-6,190,"February 26, 1959",pa PA,8,Kansas State
4,Adrian Dantley,SF,6-5,208,"February 28, 1955",us US,13,Notre Dame
15,Brad Davis,PG,6-3,180,"December 17, 1955",us US,12,Maryland
40,James Donaldson,C,7-2,275,"August 16, 1957",gb GB,9,Washington State
12,Derek Harper,PG,6-4,185,"October 13, 1961",us US,6,Illinois
21,Anthony Jones,SG,6-6,195,"September 13, 1962",us US,2,"Georgetown, UNLV"
7,Bob McCann,SF,6-6,244,"April 22, 1964",us US,R,"Upsala College, Morehead State University"
44,Sam Perkins,SF,6-9,235,"June 14, 1961",us US,5,UNC
42,Roy Tarpley,PF,6-11,230,"November 28, 1964",us US,3,Michigan
5,Kelvin Upshaw,SG,6-2,180,"January 24, 1963",us US,1,Utah
10,Mark Wade,PG,5-11,160,"October 15, 1965",us US,1,"Oklahoma, UNLV"
23,Bill Wennington,C,7-0,245,"April 26, 1963",ca CA,4,St. John's
33,Randy White,PF,6-8,240,"November 4, 1967",us US,R,Louisiana Tech
32,Herb Williams,C,6-10,242,"February 16, 1958",us US,8,Ohio State
