No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
1,Scott Brooks,PG,5-11,165,"July 31, 1965",us US,6,"TCU, University of California, Irvine"
43,Terry Davis,PF,6-9,225,"June 17, 1967",us US,5,Virginia Union University
7,Tony Dumas,SG,6-6,190,"August 25, 1972",us US,R,Missouri-Kansas City
30,Lucious Harris,SG,6-5,190,"December 18, 1970",us US,1,Cal State Long Beach
35,Donald Hodge,C,7-0,230,"February 25, 1969",us US,3,Temple
24,Jim Jackson,SG,6-6,220,"October 14, 1970",us US,2,Ohio State
54,Popeye Jones,PF,6-8,250,"June 17, 1970",us US,1,Murray State
5,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,R,California
32,Jamal Mashburn,SF,6-8,240,"November 29, 1972",us US,1,Kentucky
21,George McCloud,SF,6-6,205,"May 27, 1967",us US,4,Florida State
34,Doug Smith,PF,6-10,220,"September 17, 1969",us US,3,Missouri
42,Roy Tarpley,C,6-11,230,"November 28, 1964",us US,5,Michigan
20,Morlon Wiley,PG,6-4,185,"September 24, 1966",us US,6,Cal State Long Beach
44,Lorenzo Williams,C,6-9,200,"July 15, 1969",us US,2,Stetson University
