No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
41,Thurl Bailey,PF,6-11,215,"April 7, 1961",us US,8,NC State
45,Randy Breuer,C,7-3,230,"October 11, 1960",us US,8,Minnesota
1,Scott Brooks,PG,5-11,165,"July 31, 1965",us US,3,"TCU, University of California, Irvine"
34,Myron Brown,PG,6-3,180,"November 3, 1969",us US,R,Slippery Rock University of Pennsylvania
19,Tony Campbell,SF,6-7,215,"May 7, 1962",us US,7,Ohio State
23,Tyrone Corbin,SF,6-6,210,"December 31, 1962",us US,6,DePaul
32,Tellis Frank,PF,6-10,225,"April 26, 1965",us US,3,Western Kentucky
22,Tom Garrick,SG,6-2,185,"July 7, 1966",us US,3,Rhode Island
4,Gerald Glass,SF,6-5,221,"November 12, 1967",us US,1,"Delta State University, Ole Miss"
13,Luc Longley,C,7-2,265,"January 19, 1969",au AU,R,New Mexico
42,Sam Mitchell,PF,6-6,210,"September 2, 1963",us US,2,Mercer University
9,Tod Murphy,PF,6-9,220,"December 24, 1963",us US,3,"University of California, Irvine"
52,Mark Randall,PF,6-8,235,"September 30, 1967",us US,R,Kansas
24,Pooh Richardson,PG,6-1,180,"May 14, 1966",us US,2,UCLA
50,Felton Spencer,C,7-0,265,"January 15, 1968",us US,1,Louisville
5,Doug West,SG,6-6,200,"May 27, 1967",us US,2,Villanova
