No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
41,Thurl Bailey,PF,6-11,215,"April 7, 1961",us US,10,NC State
40,Mike Brown,C,6-9,257,"July 19, 1963",us US,7,George Washington
23,Brian Davis,SF,6-7,200,"June 21, 1970",us US,R,Duke
30,Tellis Frank,PF,6-10,225,"April 26, 1965",us US,4,Western Kentucky
51,Andrés Guibert,C,6-10,225,"October 28, 1968",cu CU,R,
7,Stanley Jackson,SG,6-3,185,"October 10, 1970",us US,R,UAB
21,Stacey King,C,6-11,230,"January 29, 1967",us US,4,Oklahoma
32,Christian Laettner,PF,6-11,235,"August 17, 1969",us US,1,Duke
13,Luc Longley,C,7-2,265,"January 19, 1969",au AU,2,New Mexico
25,Marlon Maxey,PF,6-8,250,"February 19, 1969",us US,1,"Minnesota, Texas-El Paso"
45,Chuck Person,SF,6-8,220,"June 27, 1964",us US,7,Auburn
34,Isaiah Rider,SG,6-5,215,"March 12, 1971",us US,R,UNLV
3,Chris Smith,PG,6-3,190,"May 17, 1970",us US,1,UConn
5,Doug West,SG,6-6,200,"May 27, 1967",us US,4,Villanova
12,Corey Williams,PG,6-2,190,"April 24, 1970",us US,1,Oklahoma State
4,Micheal Williams,PG,6-2,175,"July 23, 1966",us US,5,Baylor
