No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
40,Mike Brown,C,6-9,257,"July 19, 1963",us US,8,George Washington
30,Pat Durham,SF,6-7,210,"March 10, 1967",us US,1,Colorado State
10,Howard Eisley,PG,6-2,177,"December 4, 1972",us US,R,Boston College
44,Greg Foster,PF,6-11,240,"October 3, 1968",us US,4,"UCLA, Texas-El Paso"
22,Winston Garland,PG,6-2,170,"December 19, 1964",us US,6,Missouri State
24,Tom Gugliotta,SF,6-10,240,"December 19, 1969",us US,2,NC State
51,Andrés Guibert,PF,6-10,225,"October 28, 1968",cu CU,1,
2,Askia Jones,SG,6-5,200,"December 3, 1971",us US,R,Kansas State
21,Stacey King,PF,6-11,230,"January 29, 1967",us US,5,Oklahoma
32,Christian Laettner,C,6-11,235,"August 17, 1969",us US,2,Duke
42,Donyell Marshall,SF,6-9,218,"May 18, 1973",us US,R,UConn
15,Darrick Martin,PG,5-11,170,"March 6, 1971",us US,R,UCLA
34,Isaiah Rider,SG,6-5,215,"March 12, 1971",us US,1,UNLV
45,Sean Rooks,C,6-10,250,"September 9, 1969",us US,2,Arizona
17,Charles Shackleford,PF,6-10,225,"April 22, 1966",us US,4,NC State
3,Chris Smith,SG,6-3,190,"May 17, 1970",us US,2,UConn
5,Doug West,SG,6-6,200,"May 27, 1967",us US,5,Villanova
4,Micheal Williams,PG,6-2,175,"July 23, 1966",us US,6,Baylor
