No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
1,Adrian Branch,SF,6-7,185,"November 17, 1963",us US,3,Maryland
45,Randy Breuer,C,7-3,230,"October 11, 1960",us US,6,Minnesota
19,Tony Campbell,SG,6-7,215,"May 7, 1962",us US,5,Ohio State
23,Tyrone Corbin,SF,6-6,210,"December 31, 1962",us US,4,DePaul
33,Steve Johnson,C,6-10,235,"November 3, 1957",us US,8,Oregon State
52,Gary Leonard,C,7-1,250,"February 16, 1967",us US,R,Missouri
54,Brad Lohaus,PF,6-11,230,"September 29, 1964",us US,2,Iowa
35,Sidney Lowe,PG,6-0,195,"January 21, 1960",us US,3,NC State
42,Sam Mitchell,PF,6-6,210,"September 2, 1963",us US,R,Mercer University
4,Tod Murphy,C,6-9,220,"December 24, 1963",us US,1,"University of California, Irvine"
24,Pooh Richardson,PG,6-1,180,"May 14, 1966",us US,R,UCLA
3,Scott Roth,SF,6-8,212,"June 3, 1963",us US,2,Wisconsin
15,Donald Royal,SF,6-8,210,"May 22, 1966",us US,R,Notre Dame
2,Brad Sellers,PF,7-0,210,"December 17, 1962",us US,3,"Wisconsin, Ohio State"
5,Doug West,SG,6-6,200,"May 27, 1967",us US,R,Villanova
