No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us US,4,Washington
9,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,5,Virginia Tech
11,Naz Reid,C,6-9,264,"August 26, 1999",us US,5,LSU
5,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,4,Georgia
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,11,
10,Mike Conley,PG,6-0,175,"October 11, 1987",us US,17,Ohio State
30,Julius Randle,PF,6-9,250,"November 29, 1994",us US,10,Kentucky
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,6,Villanova
4,Rob Dillingham,PG,6-1,176,"January 4, 2005",us US,R,Kentucky
8,Josh Minott,SF,6-8,205,"November 25, 2002",us US,2,Memphis
55,Luka Garza,C,6-10,235,"December 27, 1998",us US,3,Iowa
22,Jaylen Clark,SG,6-5,205,"October 13, 2001",us US,R,UCLA
0,Terrence Shannon Jr.,SG,6-6,215,"July 30, 2000",us US,R,"Texas Tech, Illinois"
7,Joe Ingles,SF,6-8,220,"October 2, 1987",au AU,10,
33,Leonard Miller,SF,6-10,210,"November 26, 2003",ca CA,1,
77,Bones Hyland (TW),PG,6-2,173,"September 14, 2000",us US,3,VCU
13,Tristen Newton (TW),SG,6-5,190,"April 26, 2001",us US,R,"East Carolina University, UConn"
14,Jesse Edwards (TW),C,6-11,230,"March 18, 2000",nl NL,R,"West Virginia, Syracuse"
