No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
4,Charles Barkley,PF,6-6,252,"February 20, 1963",us US,14,Auburn
50,Matt Bullard,PF,6-10,215,"June 5, 1967",us US,7,"Colorado, Iowa"
55,Antoine Carr,PF,6-9,225,"July 23, 1961",us US,14,Wichita State
3,Michael Dickerson,SG,6-5,190,"June 25, 1975",us US,R,Arizona
11,Bryce Drew,PG,6-2,185,"September 21, 1974",us US,R,Valparaiso
32,Othella Harrington,PF,6-9,235,"January 31, 1974",us US,2,Georgetown
8,Eddie Johnson,SF,6-7,215,"May 1, 1959",us US,16,Illinois
7,Sam Mack,SF,6-7,220,"May 26, 1970",us US,4,"Iowa State, Tyler Junior College, Houston"
12,Matt Maloney,PG,6-3,192,"December 6, 1971",us US,2,"Vanderbilt, Penn"
2,Anthony Miller,PF,6-9,225,"October 22, 1971",us US,4,Michigan State
5,Cuttino Mobley,PG,6-4,190,"September 1, 1975",us US,R,Rhode Island
34,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng NG,14,Houston
33,Scottie Pippen,SF,6-8,210,"September 25, 1965",us US,11,University of Central Arkansas
20,Brent Price,PG,6-1,165,"December 9, 1968",us US,5,"South Carolina, Oklahoma"
1,Rodrick Rhodes,SF,6-6,225,"September 24, 1973",us US,1,"Kentucky, USC"
53,Stanley Roberts,C,7-0,285,"February 7, 1970",us US,6,LSU
