No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
15,Tim Breaux,SF,6-7,215,"September 19, 1970",us US,R,Wyoming
1,Scott Brooks,PG,5-11,165,"July 31, 1965",us US,6,"TCU, University of California, Irvine"
52,Chucky Brown,SF,6-7,214,"February 29, 1968",us US,5,NC State
44,Adrian Caldwell,PF,6-8,265,"July 4, 1966",us US,2,"SMU, Lamar"
10,Sam Cassell,PG,6-3,185,"November 18, 1969",us US,1,Florida State
32,Pete Chilcutt,PF,6-10,230,"September 14, 1968",us US,3,UNC
22,Clyde Drexler,SG,6-7,210,"June 22, 1962",us US,11,Houston
17,Mario Elie,SF,6-5,210,"November 26, 1963",us US,4,American International College
7,Carl Herrera,PF,6-9,215,"December 14, 1966",tt TT,3,"Jacksonville College, Houston"
25,Robert Horry,PF,6-10,240,"August 25, 1970",us US,2,Alabama
27,Charles Jones,PF,6-9,215,"April 3, 1957",us US,11,Albany State University
11,Vernon Maxwell,SG,6-4,180,"September 12, 1965",us US,6,Florida
31,Tracy Murray,SF,6-7,225,"July 25, 1971",us US,2,UCLA
34,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng NG,10,Houston
30,Kenny Smith,PG,6-3,170,"March 8, 1965",us US,7,UNC
55,Žan Tabak,C,7-0,245,"June 15, 1970",hr HR,R,
33,Otis Thorpe,PF,6-10,248,"August 5, 1962",us US,10,Providence
