No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
1,Scott Brooks,PG,5-11,165,"July 31, 1965",us US,5,"TCU, University of California, Irvine"
50,Matt Bullard,PF,6-10,215,"June 5, 1967",us US,3,"Colorado, Iowa"
10,Sam Cassell,PG,6-3,185,"November 18, 1969",us US,R,Florida State
35,Earl Cureton,PF,6-9,210,"September 3, 1957",us US,10,"Robert Morris University (PA), Detroit Mercy"
17,Mario Elie,SF,6-5,210,"November 26, 1963",us US,3,American International College
7,Carl Herrera,PF,6-9,215,"December 14, 1966",tt TT,2,"Jacksonville College, Houston"
25,Robert Horry,SF,6-10,240,"August 25, 1970",us US,1,Alabama
21,Chris Jent,SF,6-7,220,"January 11, 1970",us US,R,Ohio State
11,Vernon Maxwell,SG,6-4,180,"September 12, 1965",us US,5,Florida
34,Hakeem Olajuwon,C,7-0,255,"January 21, 1963",ng NG,9,Houston
3,Richard Petruška,C,6-10,260,"January 25, 1969",sk SK,R,"Loyola Marymount, UCLA"
42,Eric Riley,C,7-0,245,"June 2, 1970",us US,R,Michigan
20,Larry Robinson,SG,6-3,180,"January 11, 1968",us US,3,Centenary (LA)
30,Kenny Smith,PG,6-3,170,"March 8, 1965",us US,6,UNC
33,Otis Thorpe,PF,6-10,248,"August 5, 1962",us US,9,Providence
