No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Randolph Childress,PG,6-2,188,"September 21, 1972",us US,R,Wake Forest
38,Anthony Cook,PF,6-9,205,"March 19, 1967",us US,3,Arizona
24,Chris Dudley,C,6-11,235,"February 22, 1965",us US,8,Yale
44,Harvey Grant,PF,6-8,195,"July 4, 1965",us US,7,"Clemson, Oklahoma"
23,Aaron McKie,SG,6-5,209,"October 2, 1972",us US,1,Temple
3,Clifford Robinson,SF,6-10,225,"December 16, 1966",us US,6,UConn
26,James Robinson,PG,6-2,180,"August 31, 1970",us US,2,Alabama
21,Rumeal Robinson,PG,6-2,195,"November 13, 1966",jm JM,4,Michigan
11,Arvydas Sabonis,C,7-3,279,"December 19, 1964",lt LT,R,
40,Reggie Slater,PF,6-7,215,"August 27, 1970",us US,1,Wyoming
27,Elmore Spencer,C,7-0,270,"December 6, 1969",us US,3,"Georgia, UNLV"
1,Rod Strickland,PG,6-3,175,"July 11, 1966",us US,7,DePaul
33,Gary Trent,PF,6-8,250,"September 22, 1974",us US,R,Ohio University
52,Buck Williams,PF,6-8,215,"March 8, 1960",us US,14,Maryland
10,Dontonio Wingfield,SF,6-8,256,"June 23, 1974",us US,1,Cincinnati
