No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Kenny Anderson,PG,6-1,168,"October 9, 1970",us US,5,Georgia Tech
2,Stacey Augmon,SG,6-8,205,"August 1, 1968",us US,5,UNLV
4,Marcus Brown,PG,6-3,185,"April 3, 1974",us US,R,Murray State
6,Mitchell Butler,SG,6-5,210,"December 15, 1970",us US,3,UCLA
12,Randolph Childress,PG,6-2,188,"September 21, 1972",us US,1,Wake Forest
24,Chris Dudley,C,6-11,235,"February 22, 1965",us US,9,Yale
31,Reggie Jordan,SG,6-4,195,"January 26, 1968",us US,2,New Mexico State
23,Aaron McKie,SG,6-5,209,"October 2, 1972",us US,2,Temple
9,Ruben Nembhard,PG,6-3,208,"February 20, 1972",us US,R,Weber State
5,Jermaine O'Neal,PF,6-11,226,"October 13, 1978",us US,R,
34,Isaiah Rider,SG,6-5,215,"March 12, 1971",us US,3,UNLV
3,Clifford Robinson,SF,6-10,225,"December 16, 1966",us US,7,UConn
21,Rumeal Robinson,PG,6-2,195,"November 13, 1966",jm JM,5,Michigan
11,Arvydas Sabonis,C,7-3,279,"December 19, 1964",lt LT,1,
33,Gary Trent,PF,6-8,250,"September 22, 1974",us US,1,Ohio University
30,Rasheed Wallace,PF,6-11,225,"September 17, 1974",us US,1,UNC
8,Ennis Whatley,PG,6-3,177,"August 11, 1962",us US,9,Alabama
10,Dontonio Wingfield,SF,6-8,256,"June 23, 1974",us US,2,Cincinnati
19,Aleksandar Djordjevic,SG,6-2,198,"August 26, 1967",rs RS,R,
