No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Mark Bryant,PF,6-9,245,"April 25, 1965",us US,1,Seton Hall
42,Wayne Cooper,C,6-10,220,"November 16, 1956",us US,11,New Orleans
22,Clyde Drexler,SG,6-7,210,"June 22, 1962",us US,6,Houston
0,Kevin Duckworth,C,7-0,275,"April 1, 1964",us US,3,Eastern Illinois University
23,Byron Irvin,SG,6-5,190,"December 2, 1966",us US,R,"Arkansas, Missouri"
33,Nate Johnston,PF,6-8,210,"December 18, 1966",us US,R,University of Tampa
25,Jerome Kersey,SF,6-7,215,"June 26, 1962",us US,5,Longwood University
44,Dražen Petrović,SG,6-5,195,"October 22, 1964",hr HR,R,
30,Terry Porter,PG,6-3,195,"April 8, 1963",us US,4,University of Wisconsin-Stevens Point
50,Robert Reid,SF,6-8,205,"August 30, 1955",us US,11,St. Mary's University
3,Clifford Robinson,PF,6-10,225,"December 16, 1966",us US,R,UConn
52,Buck Williams,PF,6-8,215,"March 8, 1960",us US,8,Maryland
21,Danny Young,PG,6-3,175,"July 26, 1962",us US,5,Wake Forest
