No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
2,Mark Bryant,PF,6-9,245,"April 25, 1965",us US,6,Seton Hall
22,Clyde Drexler,SG,6-7,210,"June 22, 1962",us US,11,Houston
24,Chris Dudley,C,6-11,235,"February 22, 1965",us US,7,Yale
53,James Edwards,C,7-0,225,"November 22, 1955",us US,17,Washington
44,Harvey Grant,PF,6-8,195,"July 4, 1965",us US,6,"Clemson, Oklahoma"
12,Steve Henson,PG,5-11,177,"February 2, 1968",us US,4,Kansas State
25,Jerome Kersey,SF,6-7,215,"June 26, 1962",us US,10,Longwood University
11,Negele Knight,PG,6-1,175,"March 6, 1967",us US,4,Dayton
23,Aaron McKie,SG,6-5,209,"October 2, 1972",us US,R,Temple
31,Tracy Murray,SF,6-7,225,"July 25, 1971",us US,2,UCLA
30,Terry Porter,PG,6-3,195,"April 8, 1963",us US,9,University of Wisconsin-Stevens Point
3,Clifford Robinson,SF,6-10,225,"December 16, 1966",us US,5,UConn
26,James Robinson,PG,6-2,180,"August 31, 1970",us US,1,Alabama
1,Rod Strickland,PG,6-3,175,"July 11, 1966",us US,6,DePaul
33,Otis Thorpe,PF,6-10,248,"August 5, 1962",us US,10,Providence
52,Buck Williams,PF,6-8,215,"March 8, 1960",us US,13,Maryland
