No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
50,Greg Anthony,PG,6-0,176,"November 15, 1967",us US,7,"University of Portland, UNLV"
2,Stacey Augmon,SF,6-8,205,"August 1, 1968",us US,7,UNLV
31,Kelvin Cato,C,6-11,255,"August 26, 1974",us US,1,"University of South Alabama, Iowa State"
12,John Crotty,PG,6-1,185,"July 15, 1969",us US,6,Virginia
44,Brian Grant,PF,6-9,254,"March 5, 1972",us US,4,Xavier
23,Gary Grant,PG,6-3,185,"April 21, 1965",us US,10,Michigan
19,Jim Jackson,SG,6-6,220,"October 14, 1970",us US,6,Ohio State
5,Jermaine O'Neal,PF,6-11,226,"October 13, 1978",us US,2,
34,Isaiah Rider,SG,6-5,215,"March 12, 1971",us US,5,UNLV
4,Carlos Rogers,PF,6-11,220,"February 6, 1971",us US,4,"Little Rock, Tennessee State"
11,Arvydas Sabonis,C,7-3,279,"December 19, 1964",lt LT,3,
7,Brian Shaw,PG,6-6,190,"March 22, 1966",us US,9,"Saint Mary's, UC Santa Barbara"
3,Damon Stoudamire,PG,5-10,171,"September 3, 1973",us US,3,Arizona
30,Rasheed Wallace,PF,6-11,225,"September 17, 1974",us US,3,UNC
6,Bonzi Wells,SF,6-5,210,"September 28, 1976",us US,R,Ball State University
42,Walt Williams,SF,6-8,219,"April 16, 1970",us US,6,Maryland
