No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
20,Jon Barry,SG,6-4,195,"July 25, 1969",us US,5,"University of the Pacific, Georgia Tech"
23,Mario Bennett,PF,6-6,235,"August 1, 1973",us US,1,Arizona State
43,Corie Blount,PF,6-9,240,"January 4, 1969",us US,4,Cincinnati
8,Kobe Bryant,SF,6-6,212,"August 23, 1978",us US,1,
41,Elden Campbell,PF,6-11,215,"July 23, 1968",us US,7,Clemson
2,Derek Fisher,PG,6-1,200,"August 9, 1974",us US,1,Little Rock
17,Rick Fox,SF,6-7,230,"July 24, 1969",ca CA,6,UNC
5,Robert Horry,PF,6-10,240,"August 25, 1970",us US,5,Alabama
6,Eddie Jones,SG,6-6,190,"October 20, 1971",us US,3,Temple
34,Shaquille O'Neal,C,7-1,325,"March 6, 1972",us US,5,LSU
45,Sean Rooks,C,6-10,250,"September 9, 1969",us US,5,Arizona
24,Shea Seals,SG,6-5,210,"August 26, 1975",us US,R,Tulsa
9,Nick Van Exel,PG,6-1,170,"November 27, 1971",us US,4,"Trinity Valley CC, Cincinnati"
