No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
43,Corie Blount,PF,6-9,240,"January 4, 1969",us US,5,Cincinnati
8,Kobe Bryant,SG,6-6,212,"August 23, 1978",us US,2,
41,Elden Campbell,C,6-11,215,"July 23, 1968",us US,8,Clemson
2,Derek Fisher,PG,6-1,200,"August 9, 1974",us US,2,Little Rock
17,Rick Fox,SF,6-7,230,"July 24, 1969",ca CA,7,UNC
12,Derek Harper,PG,6-4,185,"October 13, 1961",us US,15,Illinois
5,Robert Horry,PF,6-10,240,"August 25, 1970",us US,6,Alabama
7,Sam Jacobson,PG,6-4,215,"July 22, 1975",us US,R,Minnesota
6,Eddie Jones,SG,6-6,190,"October 20, 1971",us US,4,Temple
40,Travis Knight,C,7-0,235,"September 13, 1974",us US,2,UConn
10,Tyronn Lue,PG,6-0,175,"May 3, 1977",us US,R,Nebraska
34,Shaquille O'Neal,C,7-1,325,"March 6, 1972",us US,6,LSU
21,Ruben Patterson,SF,6-5,224,"July 31, 1975",us US,R,Cincinnati
11,J.R. Reid,PF,6-9,247,"March 31, 1968",us US,8,UNC
41,Glen Rice,SF,6-8,215,"May 28, 1967",us US,9,Michigan
73,Dennis Rodman,PF,6-7,210,"May 13, 1961",us US,12,"North Central Texas College, Southeastern Oklahoma State University"
45,Sean Rooks,C,6-10,250,"September 9, 1969",us US,6,Arizona
