No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
35,Tony Brown,SF,6-6,185,"July 29, 1960",us US,5,Arkansas
41,Elden Campbell,PF,6-11,215,"July 23, 1968",us US,R,Clemson
12,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,1,
10,Larry Drew,PG,6-1,170,"April 2, 1958",us US,9,Missouri
45,A.C. Green,PF,6-9,220,"October 4, 1963",us US,5,Oregon State
32,Magic Johnson,PG,6-9,215,"August 14, 1959",us US,11,Michigan State
14,Sam Perkins,PF,6-9,235,"June 14, 1961",us US,6,UNC
4,Byron Scott,SG,6-3,195,"March 28, 1961",us US,7,Arizona State
34,Tony Smith,SG,6-3,185,"June 14, 1968",us US,R,Marquette
20,Terry Teagle,SG,6-5,195,"April 10, 1960",us US,8,Baylor
30,Irving Thomas,PF,6-8,225,"January 2, 1966",us US,R,"Kentucky, Florida State"
43,Mychal Thompson,C,6-10,226,"January 30, 1955",bs BS,11,Minnesota
42,James Worthy,SF,6-9,225,"February 27, 1961",us US,8,UNC
