No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
43,Corie Blount,PF,6-9,240,"January 4, 1969",us US,2,Cincinnati
41,Elden Campbell,PF,6-11,215,"July 23, 1968",us US,5,Clemson
23,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,5,Cal State Fullerton
12,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,6,
32,Magic Johnson,PF,6-9,215,"August 14, 1959",us US,12,Michigan State
25,Eddie Jones,SG,6-6,190,"October 20, 1971",us US,1,Temple
4,Frankie King,PG,6-1,185,"June 6, 1972",us US,R,Western Carolina University
34,George Lynch,SF,6-8,218,"September 3, 1970",us US,2,UNC
2,Anthony Miller,PF,6-9,225,"October 22, 1971",us US,1,Michigan State
1,Anthony Peeler,SG,6-4,208,"November 25, 1969",us US,3,Missouri
24,Fred Roberts,C,6-10,218,"August 14, 1960",us US,11,BYU
7,Derek Strong,PF,6-8,220,"February 9, 1968",us US,4,Xavier
3,Sedale Threatt,PG,6-2,175,"September 10, 1961",us US,12,West Virginia Tech
9,Nick Van Exel,PG,6-1,170,"November 27, 1971",us US,2,"Trinity Valley CC, Cincinnati"
