No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Sam Bowie,C,7-1,235,"March 17, 1961",us US,9,Kentucky
41,Elden Campbell,PF,6-11,215,"July 23, 1968",us US,4,Clemson
23,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,4,Cal State Fullerton
7,Lester Conner,SG,6-4,180,"September 17, 1959",us US,11,Oregon State
24,Lloyd Daniels,SG,6-7,205,"September 4, 1967",us US,2,Mount San Antonio College
12,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,5,
40,Antonio Harvey,PF,6-11,225,"July 6, 1970",us US,1,"Southern Illinois, Georgia, Pfeiffer University"
25,Eddie Jones,SG,6-6,190,"October 20, 1971",us US,R,Temple
8,Randolph Keys,SF,6-7,195,"April 19, 1966",us US,3,Southern Miss
30,George Lynch,SF,6-8,218,"September 3, 1970",us US,1,UNC
2,Anthony Miller,PF,6-9,225,"October 22, 1971",us US,R,Michigan State
1,Anthony Peeler,SG,6-4,208,"November 25, 1969",us US,2,Missouri
18,Kurt Rambis,PF,6-8,213,"February 25, 1958",us US,13,Santa Clara
34,Tony Smith,SG,6-3,185,"June 14, 1968",us US,4,Marquette
3,Sedale Threatt,PG,6-2,175,"September 10, 1961",us US,11,West Virginia Tech
9,Nick Van Exel,PG,6-1,170,"November 27, 1971",us US,1,"Trinity Valley CC, Cincinnati"
