No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
00,Benoit Benjamin,C,7-0,250,"November 22, 1964",us US,7,Creighton
30,Alex Blackwell,SF,6-6,250,"June 27, 1970",us US,R,Monmouth University
41,Elden Campbell,PF,6-11,215,"July 23, 1968",us US,2,Clemson
35,Doug Christie,SG,6-6,200,"May 9, 1970",us US,R,Pepperdine
5,Duane Cooper,PG,6-1,185,"June 25, 1969",us US,R,USC
12,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,3,
53,James Edwards,C,7-0,225,"November 22, 1955",us US,15,Washington
45,A.C. Green,PF,6-9,220,"October 4, 1963",us US,7,Oregon State
1,Anthony Peeler,SG,6-4,208,"November 25, 1969",us US,R,Missouri
"14, 40",Sam Perkins,PF,6-9,235,"June 14, 1961",us US,8,UNC
4,Byron Scott,SG,6-3,195,"March 28, 1961",us US,9,Arizona State
34,Tony Smith,SG,6-3,185,"June 14, 1968",us US,2,Marquette
3,Sedale Threatt,PG,6-2,175,"September 10, 1961",us US,9,West Virginia Tech
42,James Worthy,SF,6-9,225,"February 27, 1961",us US,10,UNC
