No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
6,Chucky Brown,SF,6-7,214,"February 29, 1968",us US,2,NC State
7,Demetrius Calip,PG,6-1,165,"November 18, 1969",us US,R,Michigan
41,Elden Campbell,C,6-11,215,"July 23, 1968",us US,1,Clemson
12,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,2,
45,A.C. Green,PF,6-9,220,"October 4, 1963",us US,6,Oregon State
54,Jack Haley,C,6-10,240,"January 27, 1964",us US,3,UCLA
25,Keith Owens,SF,6-7,225,"May 31, 1969",us US,R,UCLA
14,Sam Perkins,PF,6-9,235,"June 14, 1961",us US,7,UNC
43,Cliff Robinson,PF,6-9,220,"March 13, 1960",us US,10,USC
4,Byron Scott,SG,6-3,195,"March 28, 1961",us US,8,Arizona State
34,Tony Smith,PG,6-3,185,"June 14, 1968",us US,1,Marquette
2,Rory Sparrow,PG,6-2,175,"June 12, 1958",us US,11,Villanova
20,Terry Teagle,SG,6-5,195,"April 10, 1960",us US,9,Baylor
3,Sedale Threatt,PG,6-2,175,"September 10, 1961",us US,8,West Virginia Tech
42,James Worthy,SF,6-9,225,"February 27, 1961",us US,9,UNC
