No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
23,Keon Ellis,SG,6-6,175,"January 8, 2000",us US,2,"Florida SouthWestern State College, Alabama"
13,Keegan Murray,PF,6-8,215,"August 19, 2000",us US,2,Iowa
10,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us US,15,USC
11,Domantas Sabonis,C,6-10,240,"May 3, 1996",us US,8,Gonzaga
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca CA,9,Kentucky
0,Malik Monk,SG,6-3,200,"February 4, 1998",us US,7,Kentucky
7,Doug McDermott,SF,6-6,225,"January 3, 1992",us US,10,Creighton
"3, 17",Isaac Jones (TW),PF,6-8,245,"July 11, 2000",us US,R,"Wenatchee Valley College, Idaho, Washington State"
22,Devin Carter,PG,6-2,195,"March 18, 2002",us US,R,"South Carolina, Providence"
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us US,10,UCLA
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt LT,12,
33,Jake LaRavia,PF,6-8,235,"November 3, 2001",us US,2,"Indiana State University, Wake Forest"
20,Markelle Fultz,PG,6-4,209,"May 29, 1998",us US,7,Washington
24,Isaiah Crawford (TW),SF,6-6,220,"November 1, 2001",us US,R,Louisiana Tech
15,Mason Jones (TW),SG,6-4,200,"July 21, 1998",us US,3,"Connors State College, Arkansas"
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us US,12,Marquette
32,Terry Taylor,PF,6-5,230,"September 23, 1999",us US,3,Austin Peay State University
