No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
24,Anthony Bonner,PF,6-8,215,"June 8, 1968",us US,1,Saint Louis
3,Randy Brown,PG,6-2,190,"May 22, 1968",us US,R,"Houston, New Mexico State"
31,Duane Causwell,C,7-0,240,"May 31, 1968",us US,1,Temple
32,Pete Chilcutt,PF,6-10,230,"September 14, 1968",us US,R,UNC
20,Bob Hansen,SG,6-6,190,"January 18, 1961",us US,8,Iowa
20,Dennis Hopson,SG,6-5,200,"April 22, 1965",us US,4,Ohio State
51,Les Jepsen,C,7-0,237,"June 24, 1967",us US,1,Iowa
33,Jim Les,PG,5-11,165,"August 18, 1963",us US,3,"Cleveland State University, Bradley"
2,Mitch Richmond,SG,6-5,215,"June 30, 1965",us US,3,"Moberly Area Community College, Kansas State"
45,Steve Scheffler,C,6-9,250,"September 3, 1967",us US,1,Purdue
42,Dwayne Schintzius,C,7-1,260,"October 14, 1968",us US,1,Florida
22,Lionel Simmons,SF,6-7,210,"November 14, 1968",us US,1,La Salle
21,Carl Thomas,SG,6-4,175,"October 3, 1969",us US,R,Eastern Michigan
5,Stephen Thompson,SG,6-4,185,"December 2, 1968",us US,R,Syracuse
23,Wayman Tisdale,PF,6-9,240,"June 9, 1964",us US,6,Oklahoma
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,6,"Midland College, NC State"
