No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Danny Ainge,PG,6-5,185,"March 17, 1959",us US,8,BYU
"33, 40",Randy Allen,SG,6-8,220,"January 26, 1965",us US,1,Florida State
35,Antoine Carr,PF,6-9,225,"July 23, 1961",us US,5,Wichita State
15,Vinny Del Negro,SG,6-4,185,"August 9, 1966",us US,1,NC State
42,Pervis Ellison,C,6-9,210,"April 3, 1967",us US,R,Louisville
2,Michael Jackson,PG,6-2,183,"July 13, 1964",us US,2,Georgetown
32,Greg Kite,C,6-11,250,"August 5, 1961",us US,6,BYU
22,Rodney McCray,SF,6-7,220,"August 29, 1961",us US,6,Louisville
21,Harold Pressley,SF,6-7,210,"July 14, 1963",us US,3,Villanova
50,Ralph Sampson,C,7-4,228,"July 7, 1960",us US,6,Virginia
30,Kenny Smith,PG,6-3,170,"March 8, 1965",us US,2,UNC
41,Greg Stokes,PF,6-10,220,"August 5, 1963",us US,1,Iowa
23,Wayman Tisdale,PF,6-9,240,"June 9, 1964",us US,4,Oklahoma
11,Sedric Toney,PG,6-2,178,"April 13, 1962",us US,3,Dayton
4,Henry Turner,PF,6-7,200,"August 18, 1966",us US,R,Cal State Fullerton
35,Mike Williams,PF,6-8,255,"August 14, 1963",us US,R,"Cincinnati, Bradley"
