No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Mahmoud Abdul-Rauf,PG,6-1,162,"March 9, 1969",us US,6,LSU
31,Duane Causwell,C,7-0,240,"May 31, 1968",us US,6,Temple
24,Lloyd Daniels,SG,6-7,205,"September 4, 1967",us US,3,Mount San Antonio College
5,Tyus Edney,PG,5-10,152,"February 14, 1973",us US,1,UCLA
40,Kevin Gamble,SF,6-5,210,"November 13, 1965",us US,9,Iowa
33,Brian Grant,PF,6-9,254,"March 5, 1972",us US,2,Xavier
45,Devin Gray,PF,6-7,240,"May 31, 1972",us US,R,Clemson
20,Jeff Grayer,SG,6-5,200,"December 17, 1965",us US,7,Iowa State
7,Bobby Hurley,PG,6-0,165,"June 28, 1971",us US,3,Duke
30,Billy Owens,SF,6-8,220,"May 1, 1969",us US,5,Syracuse
0,Olden Polynice,C,6-11,220,"November 21, 1964",ht HT,9,Virginia
2,Mitch Richmond,SG,6-5,215,"June 30, 1965",us US,8,"Moberly Area Community College, Kansas State"
32,Kevin Salvadori,C,7-0,231,"December 30, 1970",us US,R,UNC
22,Lionel Simmons,SF,6-7,210,"November 14, 1968",us US,6,La Salle
34,Michael Smith,PF,6-8,230,"March 28, 1972",us US,2,Providence
4,Corliss Williamson,SF,6-7,245,"December 4, 1973",us US,1,Arkansas
