No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
45,Randy Breuer,C,7-3,230,"October 11, 1960",us US,10,Minnesota
3,Randy Brown,PG,6-2,190,"May 22, 1968",us US,2,"Houston, New Mexico State"
53,Evers Burns,PF,6-8,260,"August 24, 1971",us US,R,Maryland
31,Duane Causwell,C,7-0,240,"May 31, 1968",us US,3,Temple
32,Pete Chilcutt,PF,6-10,230,"September 14, 1968",us US,2,UNC
7,Bobby Hurley,PG,6-0,165,"June 28, 1971",us US,R,Duke
33,Jim Les,PG,5-11,165,"August 18, 1963",us US,5,"Cleveland State University, Bradley"
54,Mike Peplowski,C,6-10,270,"October 15, 1970",us US,R,Michigan State
0,Olden Polynice,C,6-11,220,"November 21, 1964",ht HT,6,Virginia
2,Mitch Richmond,SG,6-5,215,"June 30, 1965",us US,5,"Moberly Area Community College, Kansas State"
22,Lionel Simmons,SF,6-7,210,"November 14, 1968",us US,3,La Salle
34,LaBradford Smith,SG,6-3,200,"April 3, 1969",us US,2,Louisville
20,Andre Spencer,SF,6-6,210,"July 20, 1964",us US,1,Northern Arizona University
23,Wayman Tisdale,PF,6-9,240,"June 9, 1964",us US,8,Oklahoma
4,Spud Webb,PG,5-6,133,"July 13, 1963",us US,8,"Midland College, NC State"
42,Walt Williams,SF,6-8,219,"April 16, 1970",us US,1,Maryland
21,Trevor Wilson,PF,6-7,210,"March 16, 1968",us US,1,UCLA
