No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
31,Duane Causwell,C,7-0,240,"May 31, 1968",us US,5,Temple
23,Tyrone Corbin,SF,6-6,210,"December 31, 1962",us US,10,DePaul
5,Tyus Edney,PG,5-10,152,"February 14, 1973",us US,R,UCLA
40,Kevin Gamble,SF,6-5,210,"November 13, 1965",us US,8,Iowa
33,Brian Grant,PF,6-9,254,"March 5, 1972",us US,1,Xavier
35,Byron Houston,PF,6-5,250,"November 22, 1969",us US,3,Oklahoma State
7,Bobby Hurley,PG,6-0,165,"June 28, 1971",us US,2,Duke
13,Šarūnas Marčiulionis,SG,6-5,200,"June 13, 1964",lt LT,5,
20,Clint McDaniel,SG,6-4,180,"February 26, 1972",us US,R,Arkansas
30,Billy Owens,SF,6-8,220,"May 1, 1969",us US,4,Syracuse
0,Olden Polynice,C,6-11,220,"November 21, 1964",ht HT,8,Virginia
2,Mitch Richmond,SG,6-5,215,"June 30, 1965",us US,7,"Moberly Area Community College, Kansas State"
22,Lionel Simmons,SF,6-7,210,"November 14, 1968",us US,5,La Salle
34,Michael Smith,PF,6-8,230,"March 28, 1972",us US,1,Providence
42,Walt Williams,SF,6-8,219,"April 16, 1970",us US,3,Maryland
4,Corliss Williamson,SF,6-7,245,"December 4, 1973",us US,R,Arkansas
