No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
9,Tariq Abdul-Wahad,SG,6-6,223,"November 3, 1974",fr FR,1,"Michigan, San Jose State"
43,Peter Aluma,C,6-10,260,"April 23, 1973",ng NG,R,Liberty
20,Jon Barry,SG,6-4,195,"July 25, 1969",us US,6,"University of the Pacific, Georgia Tech"
24,Terry Dehere,PG,6-2,190,"September 12, 1971",us US,5,Seton Hall
21,Vlade Divac,C,7-1,243,"February 3, 1968",rs RS,9,
51,Lawrence Funderburke,PF,6-9,230,"December 15, 1970",us US,1,"Indiana, Ohio State"
7,Michael Hawkins,PG,6-0,178,"October 28, 1972",us US,1,Xavier
53,Jerome James,C,7-0,300,"November 17, 1975",us US,R,Florida A&M
3,Vernon Maxwell,SG,6-4,180,"September 12, 1965",us US,10,Florida
8,Oliver Miller,C,6-9,280,"April 6, 1970",us US,6,Arkansas
15,Kevin Ollie,PG,6-4,195,"December 27, 1972",us US,1,UConn
31,Scot Pollard,C,6-11,265,"February 12, 1975",us US,1,Kansas
16,Peja Stojaković,SF,6-10,229,"June 9, 1977",hr HR,R,
4,Chris Webber,PF,6-10,245,"March 1, 1973",us US,5,Michigan
55,Jason Williams,PG,6-1,190,"November 18, 1975",us US,R,"Marshall, Florida"
34,Corliss Williamson,SF,6-7,245,"December 4, 1973",us US,3,Arkansas
