No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
52,Victor Alexander,C,6-9,265,"August 31, 1969",us US,2,Iowa State
35,Jud Buechler,SF,6-6,220,"June 19, 1968",us US,3,Arizona
20,Dell Demps,PG,6-3,205,"February 12, 1970",us US,R,University of the Pacific
25,Chris Gatling,C,6-10,220,"September 3, 1967",us US,2,Old Dominion
11,Josh Grant,PF,6-9,223,"August 7, 1967",us US,R,Utah
44,Jeff Grayer,SG,6-5,200,"December 17, 1965",us US,5,Iowa State
21,Byron Houston,PF,6-5,250,"November 22, 1969",us US,1,Oklahoma State
2,Keith Jennings,PG,5-7,160,"November 2, 1968",us US,1,East Tennessee State University
6,Avery Johnson,PG,5-10,175,"March 25, 1965",us US,5,"Cameron University, Southern University and A&M College"
22,Todd Lichti,SG,6-4,205,"January 8, 1967",us US,4,Stanford
17,Chris Mullin,SF,6-7,215,"July 30, 1963",us US,8,St. John's
41,Tod Murphy,PF,6-9,220,"December 24, 1963",us US,4,"University of California, Irvine"
30,Billy Owens,PF,6-8,220,"May 1, 1969",us US,2,Syracuse
12,Andre Spencer,SF,6-6,210,"July 20, 1964",us US,1,Northern Arizona University
15,Latrell Sprewell,SG,6-5,190,"September 8, 1970",us US,1,"Three Rivers Community College, Alabama"
4,Chris Webber,C,6-10,245,"March 1, 1973",us US,R,Michigan
