No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
11,B.J. Armstrong,PG,6-2,175,"September 9, 1967",us US,8,Iowa
1,Muggsy Bogues,PG,5-3,136,"January 9, 1965",us US,10,Wake Forest
21,Jason Caffey,PF,6-8,255,"June 12, 1973",us US,2,Alabama
12,Bimbo Coles,PG,6-1,180,"April 22, 1968",us US,7,Virginia Tech
35,Erick Dampier,C,6-11,265,"July 14, 1975",us US,1,Mississippi State
0,Tony Delk,PG,6-1,189,"January 28, 1974",us US,1,Kentucky
33,Duane Ferrell,SF,6-7,209,"February 28, 1965",us US,9,Georgia Tech
31,Adonal Foyle,C,6-10,250,"March 9, 1975",vc VC,R,Colgate
52,Todd Fuller,C,6-11,255,"July 25, 1974",us US,1,NC State
20,Jeff Grayer,SG,6-5,200,"December 17, 1965",us US,8,Iowa State
22,Jim Jackson,SG,6-6,220,"October 14, 1970",us US,5,Ohio State
2,Gerald Madkins,SG,6-4,200,"April 18, 1969",us US,2,UCLA
3,Donyell Marshall,SF,6-9,218,"May 18, 1973",us US,3,UConn
20,Brian Shaw,PG,6-6,190,"March 22, 1966",us US,8,"Saint Mary's, UC Santa Barbara"
8,Dickey Simpkins,PF,6-9,248,"April 6, 1972",us US,3,Providence
32,Joe Smith,PF,6-10,225,"July 26, 1975",us US,2,Maryland
50,Felton Spencer,C,7-0,265,"January 15, 1968",us US,7,Louisville
15,Latrell Sprewell,SG,6-5,190,"September 8, 1970",us US,5,"Three Rivers Community College, Alabama"
30,Carl Thomas,SG,6-4,175,"October 3, 1969",us US,2,Eastern Michigan
34,David Vaughn,PF,6-9,240,"March 23, 1973",us US,2,Memphis
30,Clarence Weatherspoon,PF,6-6,240,"September 8, 1970",us US,5,Southern Miss
11,Brandon Williams,SG,6-6,215,"February 27, 1975",us US,R,Davidson
