No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
33,Uwe Blab,C,7-1,252,"March 26, 1962",de DE,4,Indiana
10,Manute Bol,C,7-7,200,"October 16, 1962",ss SS,4,University of Bridgeport
12,Winston Garland,PG,6-2,170,"December 19, 1964",us US,2,Missouri State
5,Tim Hardaway,PG,6-0,175,"September 1, 1966",us US,R,Texas-El Paso
22,Rod Higgins,PF,6-7,200,"January 31, 1960",us US,7,Fresno State
8,Marques Johnson,SF,6-7,218,"February 8, 1956",us US,10,UCLA
53,Alton Lister,C,7-0,240,"October 1, 1958",us US,8,Arizona State
13,Šarūnas Marčiulionis,SG,6-5,200,"June 13, 1964",lt LT,R,
17,Chris Mullin,SF,6-7,215,"July 30, 1963",us US,4,St. John's
43,Jim Petersen,C,6-10,235,"February 22, 1962",us US,5,Minnesota
23,Mitch Richmond,SG,6-5,215,"June 30, 1965",us US,1,"Moberly Area Community College, Kansas State"
45,John Shasky,C,6-11,235,"July 31, 1964",us US,1,Minnesota
52,Mike Smrek,C,7-0,250,"August 31, 1962",ca CA,4,Canisius
44,Leonard Taylor,PF,6-8,220,"May 2, 1966",us US,R,California
20,Terry Teagle,SF,6-5,195,"April 10, 1960",us US,7,Baylor
3,Tom Tolbert,PF,6-7,235,"October 16, 1965",us US,1,"University of California, Irvine, Arizona"
7,Kelvin Upshaw,SG,6-2,180,"January 24, 1963",us US,1,Utah
40,Chris Welp,C,7-0,245,"January 2, 1964",de DE,2,Washington
