No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
14,Michael Adams,PG,5-10,162,"January 19, 1963",us US,4,Boston College
11,Joe Barry Carroll,C,7-0,225,"July 24, 1958",us US,8,Purdue
6,Walter Davis,SG,6-6,193,"September 9, 1954",us US,12,UNC
23,T.R. Dunn,SF,6-4,192,"February 1, 1955",us US,12,Alabama
2,Alex English,SF,6-8,190,"January 5, 1954",us US,13,South Carolina
24,Bill Hanzlik,PF,6-7,185,"December 6, 1957",us US,9,Notre Dame
42,Mike Higgins,SF,6-9,220,"February 17, 1967",us US,R,University of Northern Colorado
1,Eddie Hughes,PG,5-10,165,"May 26, 1960",us US,2,Colorado State
45,Tim Kempton,PF,6-10,245,"January 25, 1964",us US,2,Notre Dame
35,Jerome Lane,PF,6-6,230,"December 4, 1966",us US,1,Pitt
12,Fat Lever,SG,6-3,170,"August 18, 1960",us US,7,Arizona State
21,Todd Lichti,SG,6-4,205,"January 8, 1967",us US,R,Stanford
41,Blair Rasmussen,C,7-0,250,"November 13, 1962",us US,4,Oregon
34,Danny Schayes,C,6-11,235,"May 10, 1959",us US,8,Syracuse
