No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Cory Alexander,PG,6-1,185,"June 22, 1973",us US,2,Virginia
4,Tony Battie,PF,6-11,230,"February 11, 1976",us US,R,Texas Tech
3,Harold Ellis,SF,6-5,200,"October 7, 1970",us US,2,Morehouse College
20,LaPhonso Ellis,SF,6-8,240,"May 5, 1970",us US,5,Notre Dame
15,Danny Fortson,PF,6-7,260,"March 27, 1976",us US,R,Cincinnati
21,Dean Garrett,C,6-10,225,"November 27, 1966",us US,1,Indiana
1,Kiwane Lemorris Garris,SG,6-2,183,"September 24, 1974",us US,R,Illinois
5,Anthony Goldwire,PG,6-1,182,"September 6, 1971",us US,2,Houston
13,Bobby Jackson,PG,6-1,185,"March 13, 1973",us US,R,Minnesota
30,Priest Lauderdale,C,7-4,325,"August 31, 1973",us US,1,Central State University
22,Johnny Newman,SF,6-7,190,"November 28, 1963",us US,11,Richmond
23,Bryant Stith,SG,6-5,208,"December 10, 1970",us US,5,Virginia
14,Eric Washington,SG,6-4,190,"March 23, 1974",us US,R,Alabama
32,Eric Williams,SF,6-8,220,"July 17, 1972",us US,2,"Vincennes University, Providence"
17,Joe Wolf,PF,6-11,230,"December 17, 1964",us US,9,UNC
25,George Zídek,C,7-0,250,"August 2, 1973",cz CZ,2,UCLA
