No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Mahmoud Abdul-Rauf,PG,6-1,162,"March 9, 1969",us US,1,LSU
33,Greg Anderson,PF,6-10,230,"June 22, 1964",us US,4,Houston
43,Kevin Brooks,SF,6-6,200,"October 12, 1969",us US,R,Louisiana
0,Anthony Cook,PF,6-9,205,"March 19, 1967",us US,1,Arizona
6,Walter Davis,SF,6-6,193,"September 9, 1954",us US,14,UNC
12,Winston Garland,PG,6-2,170,"December 19, 1964",us US,4,Missouri State
10,Scott Hastings,C,6-10,235,"June 3, 1960",us US,9,Arkansas
35,Jerome Lane,PF,6-6,230,"December 4, 1966",us US,3,Pitt
30,Marcus Liberty,SF,6-8,205,"October 27, 1968",us US,1,Illinois
21,Todd Lichti,SG,6-4,205,"January 8, 1967",us US,2,Stanford
1,Mark Macon,SG,6-5,185,"April 14, 1969",us US,R,Temple
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,R,Georgetown
50,Steve Scheffler,C,6-9,250,"September 3, 1967",us US,1,Purdue
34,Reggie Williams,SF,6-7,190,"March 5, 1964",us US,4,Georgetown
42,Joe Wolf,C,6-11,230,"December 17, 1964",us US,4,UNC
