No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
1,Mahmoud Abdul-Rauf,PG,6-1,162,"March 9, 1969",us US,4,LSU
8,Bison Dele,C,6-9,235,"April 6, 1969",us US,3,"Maryland, Arizona"
3,Dale Ellis,SF,6-7,205,"August 6, 1960",us US,11,Tennessee
20,LaPhonso Ellis,PF,6-8,240,"May 5, 1970",us US,2,Notre Dame
9,Greg Grant,PG,5-7,140,"August 29, 1966",us US,4,Trenton State University
21,Tom Hammonds,PF,6-9,215,"March 27, 1967",us US,5,Georgia Tech
53,Cliff Levingston,PF,6-8,210,"January 4, 1961",us US,10,Wichita State
4,Darnell Mee,SG,6-5,175,"February 11, 1971",us US,1,Western Kentucky
55,Dikembe Mutombo,C,7-2,245,"June 25, 1966",cd CD,3,Georgetown
14,Robert Pack,PG,6-2,180,"February 3, 1969",us US,3,USC
42,Mark Randall,PF,6-8,235,"September 30, 1967",us US,3,Kansas
7,Eldridge Recasner,SG,6-3,190,"December 14, 1967",us US,R,Washington
54,Rodney Rogers,PF,6-7,235,"June 20, 1971",us US,1,Wake Forest
5,Jalen Rose,SF,6-8,210,"January 30, 1973",us US,R,Michigan
35,Reggie Slater,PF,6-7,215,"August 27, 1970",us US,R,Wyoming
23,Bryant Stith,SG,6-5,208,"December 10, 1970",us US,2,Virginia
34,Reggie Williams,SF,6-7,190,"March 5, 1964",us US,7,Georgetown
