No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
53,Jerome Allen,SG,6-4,184,"January 28, 1973",us US,1,Penn
17,Vincent Askew,SG,6-6,210,"February 28, 1966",us US,7,Memphis
14,Elmer Bennett,PG,6-0,170,"February 13, 1970",us US,2,Notre Dame
14,Melvin Booker,PG,6-2,185,"August 20, 1972",us US,1,Missouri
3,Dale Ellis,SF,6-7,205,"August 6, 1960",us US,13,Tennessee
20,LaPhonso Ellis,PF,6-8,240,"May 5, 1970",us US,4,Notre Dame
5,Anthony Goldwire,PG,6-1,182,"September 6, 1971",us US,1,Houston
35,Darvin Ham,SF,6-7,220,"July 23, 1973",us US,R,Texas Tech
21,Tom Hammonds,PF,6-9,215,"March 27, 1967",us US,7,Georgia Tech
13,Mark Jackson,PG,6-1,180,"April 1, 1965",us US,9,St. John's
50,Ervin Johnson,C,6-11,245,"December 21, 1967",us US,3,New Orleans
13,Jimmy King,SG,6-5,210,"August 9, 1973",us US,1,Michigan
8,Šarūnas Marčiulionis,SG,6-5,200,"June 13, 1964",lt LT,6,
24,Antonio McDyess,PF,6-9,220,"September 7, 1974",us US,1,Alabama
5,Jeff McInnis,PG,6-4,190,"October 22, 1974",us US,R,UNC
14,Eric Murdock,PG,6-1,190,"June 14, 1968",us US,5,Providence
22,Ricky Pierce,SG,6-4,205,"August 19, 1959",us US,14,"Walla Walla Community College, Rice University"
30,Kenny Smith,PG,6-3,170,"March 8, 1965",us US,9,UNC
23,Bryant Stith,SG,6-5,208,"December 10, 1970",us US,4,Virginia
6,Brooks Thompson,PG,6-4,193,"July 19, 1970",us US,2,"Texas A&M, Oklahoma State"
41,LaSalle Thompson,C,6-10,245,"June 23, 1961",us US,14,Texas
55,Aaron Williams,C,6-9,220,"October 2, 1971",us US,2,Xavier
25,George Zídek,C,7-0,250,"August 2, 1973",cz CZ,1,UCLA
