No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Cory Alexander,PG,6-1,185,"June 22, 1973",us US,3,Virginia
4,Chauncey Billups,SG,6-3,202,"September 25, 1976",us US,1,Colorado
13,Keon Clark,C,6-11,220,"April 16, 1975",us US,R,"Irvine Valley College, Dixie State (UT), UNLV"
15,Danny Fortson,PF,6-7,260,"March 27, 1976",us US,1,Cincinnati
21,Carl Herrera,PF,6-9,215,"December 14, 1966",tt TT,7,"Jacksonville College, Houston"
45,Raef LaFrentz,C,6-11,240,"May 29, 1976",us US,R,Kansas
11,Kelly McCarty,SG,6-7,200,"August 24, 1975",us US,R,Southern Miss
24,Antonio McDyess,C,6-9,220,"September 7, 1974",us US,3,Alabama
34,Loren Meyer,C,6-10,257,"December 30, 1972",us US,2,Iowa State
23,Bryant Stith,SG,6-5,208,"December 10, 1970",us US,6,Virginia
17,Johnny Taylor,SF,6-9,220,"June 4, 1974",us US,1,"Indian Hills Community College, Chattanooga"
31,Nick Van Exel,PG,6-1,170,"November 27, 1971",us US,5,"Trinity Valley CC, Cincinnati"
14,Eric Washington,SG,6-4,190,"March 23, 1974",us US,1,Alabama
5,Tyson Wheeler,PG,5-10,165,"October 8, 1975",us US,R,Rhode Island
32,Eric Williams,SF,6-8,220,"July 17, 1972",us US,3,"Vincennes University, Providence"
3,Monty Williams,SF,6-8,225,"October 8, 1971",us US,4,Notre Dame
