No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
3,Mahmoud Abdul-Rauf,PG,6-1,162,"March 9, 1969",us US,R,LSU
14,Michael Adams,PG,5-10,162,"January 19, 1963",us US,5,Boston College
33,Greg Anderson,PF,6-10,230,"June 22, 1964",us US,3,Houston
5,Kenny Battle,SG,6-6,210,"October 10, 1964",us US,1,"Northern Illinois, Illinois"
45,Anthony Cook,PF,6-9,205,"March 19, 1967",us US,R,Arizona
6,Walter Davis,SG,6-6,193,"September 9, 1954",us US,13,UNC
23,T.R. Dunn,SG,6-4,192,"February 1, 1955",us US,13,Alabama
22,Jim Farmer,SG,6-4,190,"September 23, 1964",us US,3,Alabama
1,Corey Gaines,SG,6-3,195,"June 1, 1965",us US,2,"UCLA, Loyola Marymount"
15,Avery Johnson,PG,5-10,175,"March 25, 1965",us US,2,"Cameron University, Southern University and A&M College"
35,Jerome Lane,PF,6-6,230,"December 4, 1966",us US,2,Pitt
22,Tim Legler,SG,6-4,200,"December 26, 1966",us US,1,La Salle
30,Marcus Liberty,SF,6-8,205,"October 27, 1968",us US,R,Illinois
21,Todd Lichti,SG,6-4,205,"January 8, 1967",us US,1,Stanford
34,Anthony Mason,PF,6-8,250,"December 14, 1966",us US,1,Tennessee State
5,Terry Mills,PF,6-10,230,"December 21, 1967",us US,R,Michigan
22,Craig Neal,PG,6-5,165,"February 16, 1964",us US,1,Georgia Tech
41,Blair Rasmussen,C,7-0,250,"November 13, 1962",us US,5,Oregon
34,Reggie Williams,SF,6-7,190,"March 5, 1964",us US,3,Georgetown
42,Joe Wolf,C,6-11,230,"December 17, 1964",us US,3,UNC
0,Orlando Woolridge,SF,6-9,215,"December 16, 1959",us US,9,Notre Dame
