No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
,Mike Brown,C-F,6-9,257,"July 19, 1963",us US,11,George Washington
2.0,Mark Bryant,C,6-9,245,"April 25, 1965",us US,9,Seton Hall
1.0,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,7,Cal State Fullerton
3.0,Rex Chapman,SG,6-4,185,"October 5, 1967",us US,9,Kentucky
7.0,Kevin Johnson,PG,6-1,180,"March 4, 1966",us US,10,California
32.0,Jason Kidd,PG,6-4,205,"March 23, 1973",us US,3,California
17.0,Horacio Llamas,C,6-11,285,"July 17, 1973",mx MX,1,Grand Canyon University
15.0,Danny Manning,PF,6-10,230,"May 17, 1966",us US,9,Kansas
21.0,George McCloud,SF,6-6,205,"May 27, 1967",us US,7,Florida State
34.0,Antonio McDyess,PF,6-9,220,"September 7, 1974",us US,2,Alabama
20.0,Marko Milič,SF,6-6,235,"May 7, 1977",si SI,R,
13.0,Steve Nash,PG,6-3,195,"February 7, 1974",za ZA,1,Santa Clara
30.0,Clifford Robinson,SF,6-10,225,"December 16, 1966",us US,8,UConn
4.0,Dennis Scott,SF,6-8,229,"September 5, 1968",us US,7,Georgia Tech
4.0,Brooks Thompson,PG,6-4,193,"July 19, 1970",us US,3,"Texas A&M, Oklahoma State"
18.0,Hot Rod Williams,C,6-11,215,"August 9, 1962",us US,11,Tulane
