No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
34,Charles Barkley,PF,6-6,252,"February 20, 1963",us US,11,Auburn
8,Mario Bennett,SF,6-6,235,"August 1, 1973",us US,R,Arizona State
43,Chris Carr,SG,6-5,207,"March 12, 1974",us US,R,Southern Illinois
40,John Coker,C,7-0,253,"October 28, 1971",us US,R,Boise State
4,Michael Finley,SF,6-7,215,"March 6, 1973",us US,R,Wisconsin
45,A.C. Green,SF,6-9,220,"October 4, 1963",us US,10,Oregon State
7,Kevin Johnson,PG,6-1,180,"March 4, 1966",us US,8,California
35,Joe Kleine,C,6-11,255,"January 4, 1962",us US,10,"Notre Dame, Arkansas"
15,Danny Manning,PF,6-10,230,"May 17, 1966",us US,7,Kansas
2,Elliot Perry,PG,6-0,150,"March 28, 1969",us US,3,Memphis
11,Wesley Person,SG,6-6,195,"March 28, 1971",us US,1,Auburn
14,Terrence Rencher,PG,6-3,185,"February 19, 1973",us US,R,Texas
51,Stefano Rusconi,PF,6-9,240,"October 2, 1968",it IT,R,
14,Tony Smith,SG,6-3,185,"June 14, 1968",us US,5,Marquette
23,Wayman Tisdale,PF,6-9,240,"June 9, 1964",us US,10,Oklahoma
18,Hot Rod Williams,C,6-11,215,"August 9, 1962",us US,9,Tulane
10,David Wood,PF,6-9,227,"November 30, 1964",us US,5,Nevada
