No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
15,Steve Burtt,SG,6-2,185,"November 5, 1962",us US,2,Iona College
23,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,1,Cal State Fullerton
24,Tom Chambers,PF,6-10,220,"June 21, 1959",us US,10,Utah
14,Jeff Hornacek,SG,6-4,190,"May 3, 1963",us US,5,Iowa State
7,Kevin Johnson,PG,6-1,180,"March 4, 1966",us US,4,California
32,Negele Knight,PG,6-1,175,"March 6, 1967",us US,1,Dayton
28,Andrew Lang,C,6-11,245,"June 28, 1966",us US,3,Arkansas
9,Dan Majerle,SF,6-6,215,"September 9, 1965",us US,3,Central Michigan University
0,Jerrod Mustaf,PF,6-10,238,"October 28, 1969",us US,1,Maryland
45,Ed Nealy,PF,6-7,238,"February 19, 1960",us US,8,Kansas State
34,Tim Perry,PF,6-9,200,"June 4, 1965",us US,3,Temple
31,Kurt Rambis,PF,6-8,213,"February 25, 1958",us US,10,Santa Clara
41,Mark West,C,6-10,230,"November 5, 1960",us US,8,Old Dominion
