No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
22,Danny Ainge,SG,6-5,185,"March 17, 1959",us US,12,BYU
34,Charles Barkley,PF,6-6,252,"February 20, 1963",us US,9,Auburn
23,Cedric Ceballos,SF,6-7,220,"August 2, 1969",us US,3,Cal State Fullerton
11,Duane Cooper,PG,6-1,185,"June 25, 1969",us US,1,USC
40,Joe Courtney,PF,6-8,235,"October 17, 1969",us US,1,"Mississippi State, Southern Miss"
45,A.C. Green,PF,6-9,220,"October 4, 1963",us US,8,Oregon State
4,Skeeter Henry,SG,6-7,190,"December 8, 1967",us US,R,"Midland College, Oklahoma"
3,Frank Johnson,PG,6-1,185,"November 23, 1958",us US,9,Wake Forest
7,Kevin Johnson,PG,6-1,180,"March 4, 1966",us US,6,California
35,Joe Kleine,C,6-11,255,"January 4, 1962",us US,8,"Notre Dame, Arkansas"
32,Negele Knight,PG,6-1,175,"March 6, 1967",us US,3,Dayton
27,Malcolm Mackey,C,6-9,248,"July 11, 1970",us US,R,Georgia Tech
9,Dan Majerle,SG,6-6,215,"September 9, 1965",us US,5,Central Michigan University
25,Oliver Miller,C,6-9,280,"April 6, 1970",us US,1,Arkansas
0,Jerrod Mustaf,PF,6-10,238,"October 28, 1969",us US,3,Maryland
2,Elliot Perry,PG,6-0,150,"March 28, 1969",us US,1,Memphis
41,Mark West,C,6-10,230,"November 5, 1960",us US,10,Old Dominion
