No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
21,Tyus Jones,PG,6-1,196,"May 10, 1996",us US,9,Duke
22,Mason Plumlee,C,6-10,254,"March 5, 1990",us US,11,Duke
1,Devin Booker,SG,6-6,206,"October 30, 1996",us US,9,Kentucky
0,Royce O'Neale,SF,6-4,226,"June 5, 1993",us US,7,"Denver, Baylor"
0,Ryan Dunn,SF,6-6,216,"January 7, 2003",us US,R,Virginia
35,Kevin Durant,PF,6-11,240,"September 29, 1988",us US,16,Texas
8,Grayson Allen,SG,6-4,198,"October 8, 1995",us US,6,Duke
4,Oso Ighodaro,PF,6-10,235,"July 14, 2002",us US,R,Marquette
3,Bradley Beal,SG,6-4,207,"June 28, 1993",us US,12,Florida
23,Monte Morris,PG,6-2,183,"June 27, 1995",us US,7,Iowa State
11,Bol Bol,PF,7-3,220,"November 16, 1999",sd SD,5,Oregon
2,Nick Richards,C,7-0,245,"November 29, 1997",jm JM,4,Kentucky
12,Collin Gillespie (TW),PG,6-1,195,"June 25, 1999",us US,1,Villanova
10,Damion Lee,SG,6-5,210,"October 21, 1992",us US,6,"Drexel, Louisville"
14,TyTy Washington Jr. (TW),PG,6-3,197,"November 15, 2001",us US,2,Kentucky
17,Cody Martin,SF,6-5,205,"September 28, 1995",us US,5,"NC State, Nevada"
15,Jalen Bridges (TW),SF,6-8,225,"May 14, 2001",us US,R,"West Virginia, Baylor"
18,Vasilije Micić,PG,6-5,200,"January 13, 1994",rs RS,1,
