No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
24,Terry Dehere,PG,6-2,190,"September 12, 1971",us US,1,Seton Hall
30,Harold Ellis,SF,6-5,200,"October 7, 1970",us US,1,Morehouse College
50,Matt Fish,C,6-11,235,"November 18, 1969",us US,R,UNC Wilmington
23,Gary Grant,PG,6-3,185,"April 21, 1965",us US,6,Michigan
42,Bob Martin,C,7-0,250,"October 7, 1969",us US,1,Minnesota
9,Tony Massenburg,C,6-9,220,"July 31, 1967",us US,2,Maryland
7,Lamond Murray,SF,6-7,236,"April 20, 1973",us US,R,California
45,Bo Outlaw,PF,6-8,210,"April 13, 1971",us US,1,"South Plains College, Houston"
52,Eric Piatkowski,SG,6-7,215,"September 30, 1970",us US,R,Nebraska
2,Pooh Richardson,PG,6-1,180,"May 14, 1966",us US,5,UCLA
42,Eric Riley,C,7-0,245,"June 2, 1970",us US,1,Michigan
21,Malik Sealy,SG,6-8,190,"February 1, 1970",us US,2,St. John's
4,Michael Smith,PF,6-10,225,"May 19, 1965",us US,2,BYU
27,Elmore Spencer,C,7-0,270,"December 6, 1969",us US,2,"Georgia, UNLV"
35,Loy Vaught,PF,6-9,230,"February 27, 1968",us US,4,Michigan
14,Randy Woods,PG,5-10,185,"September 23, 1970",us US,2,La Salle
