No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
7,Lester Conner,PG,6-4,180,"September 17, 1959",us US,9,Oregon State
23,Gary Grant,PG,6-3,185,"April 21, 1965",us US,4,Michigan
4,Ron Harper,SG,6-6,185,"January 20, 1964",us US,6,Miami University
8,Jaren Jackson,SG,6-4,190,"October 27, 1967",us US,2,Georgetown
13,Mark Jackson,PG,6-1,180,"April 1, 1965",us US,5,St. John's
5,Danny Manning,PF,6-10,230,"May 17, 1966",us US,4,Kansas
3,Ken Norman,SF,6-8,215,"September 5, 1964",us US,5,Illinois
53,Stanley Roberts,C,7-0,285,"February 7, 1970",us US,1,LSU
27,Elmore Spencer,C,7-0,270,"December 6, 1969",us US,R,"Georgia, UNLV"
25,Alex Stivrins,SF,6-8,220,"November 29, 1962",us US,1,"Creighton, Colorado"
55,Kiki Vandeweghe,SF,6-8,220,"August 1, 1958",de DE,12,UCLA
35,Loy Vaught,PF,6-9,230,"February 27, 1968",us US,2,Michigan
10,Duane Washington,SG,6-4,195,"August 31, 1964",de DE,1,Middle Tennessee
34,John Williams,SF,6-8,235,"October 26, 1966",us US,5,LSU
14,Randy Woods,PG,5-10,185,"September 23, 1970",us US,R,La Salle
