No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
40.0,Ivica Zubac,C,7-0,240,"March 18, 1997",ba BA,8,
7.0,Amir Coffey,SG,6-7,210,"June 17, 1997",us US,5,Minnesota
33.0,Nicolas Batum,PF,6-8,230,"December 14, 1988",fr FR,16,
1.0,James Harden,PG,6-5,220,"August 26, 1989",us US,15,Arizona State
55.0,Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",us US,8,UNLV
8.0,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,8,Providence
24.0,Norman Powell,SG,6-3,215,"May 25, 1993",us US,9,UCLA
11.0,Jordan Miller,SF,6-7,195,"January 23, 2000",us US,1,"George Mason, Miami (FL)"
21.0,Kobe Brown,PF,6-7,250,"January 1, 2000",us US,1,Missouri
2.0,Kawhi Leonard,SF,6-7,225,"June 29, 1991",us US,12,San Diego State
10.0,Bogdan Bogdanović,SG,6-5,220,"August 18, 1992",rs RS,7,
15.0,Drew Eubanks,C,6-9,245,"February 1, 1997",us US,6,Oregon State
25.0,Ben Simmons,PG,6-10,240,"July 20, 1996",au AU,6,LSU
88.0,Patty Mills,PG,6-2,180,"August 11, 1988",au AU,15,Saint Mary's
12.0,Cam Christie,SG,6-5,190,"July 24, 2005",us US,R,Minnesota
9.0,Trentyn Flowers (TW),SF,6-7,185,"March 8, 2005",us US,R,
,Patrick Baldwin Jr. (TW),SF,6-9,220,"November 18, 2002",us US,2,UW-Milwaukee
,Seth Lundy (TW),SF,6-6,220,"April 2, 2000",us US,1,Penn State
