No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
17,Tony Brown,SF,6-6,185,"July 29, 1960",us US,6,Arkansas
21,Lanard Copeland,SG,6-6,190,"July 16, 1965",us US,1,Georgia State University
53,James Edwards,C,7-0,225,"November 22, 1955",us US,14,Washington
22,LeRon Ellis,C,6-9,225,"April 28, 1969",us US,R,"Kentucky, Syracuse"
23,Gary Grant,PG,6-3,185,"April 21, 1965",us US,3,Michigan
4,Ron Harper,SG,6-6,185,"January 20, 1964",us US,5,Miami University
30,Bo Kimble,SG,6-4,190,"April 9, 1966",us US,1,"USC, Loyola Marymount"
5,Danny Manning,PF,6-10,230,"May 17, 1966",us US,3,Kansas
8,Tharon Mayes,SG,6-3,175,"September 9, 1968",us US,R,Florida State
3,Ken Norman,SF,6-8,215,"September 5, 1964",us US,4,Illinois
34,Elliot Perry,PG,6-0,150,"March 28, 1969",us US,R,Memphis
0,Olden Polynice,C,6-11,220,"November 21, 1964",ht HT,4,Virginia
32,David Rivers,PG,6-0,170,"January 20, 1965",us US,2,Notre Dame
25,Doc Rivers,PG,6-4,185,"October 13, 1961",us US,8,Marquette
54,Charles Smith,SF,6-10,230,"July 16, 1965",us US,3,Pitt
35,Loy Vaught,PF,6-9,230,"February 27, 1968",us US,1,Michigan
21,Danny Young,PG,6-3,175,"July 26, 1962",us US,7,Wake Forest
